geoid,geoid20,year,denom_total_pop,tothomeless_count,totshelt_count,totunshelt_count
1400000US06037115204,6037115204,2020,3953,4,0,4
1400000US06037115301,6037115301,2020,4524,4,0,4
1400000US06037115302,6037115302,2020,4364,7,0,7
1400000US06037115401,6037115401,2020,6405,0,0,0
1400000US06037115403,6037115403,2020,3706,5,0,5
1400000US06037115404,6037115404,2020,2990,9,0,9
1400000US06037117101,6037117101,2020,5269,3,0,3
1400000US06037117102,6037117102,2020,2841,4,0,4
1400000US06037117201,6037117201,2020,4580,5,0,5
1400000US06037117202,6037117202,2020,2594,5,0,5
1400000US06037117301,6037117301,2020,4053,1,0,1
1400000US06037117302,6037117302,2020,5363,0,0,0
1400000US06037117303,6037117303,2020,3706,2,0,2
1400000US06037117404,6037117404,2020,4463,35,0,35
1400000US06037117405,6037117405,2020,3620,20,0,20
1400000US06037117407,6037117407,2020,3917,19,0,19
1400000US06037117408,6037117408,2020,3332,2,0,2
1400000US06037117510,6037117510,2020,4171,27,22,5
1400000US06037117520,6037117520,2020,4180,26,14,12
1400000US06037117530,6037117530,2020,6739,23,0,23
1400000US06037119001,6037119001,2020,4195,0,0,0
1400000US06037119003,6037119003,2020,3727,10,0,10
1400000US06037119004,6037119004,2020,3732,10,0,10
1400000US06037119201,6037119201,2020,4016,8,0,8
1400000US06037119202,6037119202,2020,4493,27,0,27
1400000US06037119310,6037119310,2020,3956,2,0,2
1400000US06037119320,6037119320,2020,4938,6,0,6
1400000US06037119340,6037119340,2020,3976,6,0,6
1400000US06037119341,6037119341,2020,2900,1,0,1
1400000US06037119342,6037119342,2020,3196,0,0,0
1400000US06037119400,6037119400,2020,5252,6,0,6
1400000US06037119700,6037119700,2020,5046,16,0,16
1400000US06037119801,6037119801,2020,3149,2,0,2
1400000US06037119802,6037119802,2020,3239,2,0,2
1400000US06037119900,6037119900,2020,5173,0,0,0
1400000US06037120010,6037120010,2020,2692,3,0,3
1400000US06037120020,6037120020,2020,3989,36,0,36
1400000US06037120030,6037120030,2020,2643,13,0,13
1400000US06037120103,6037120103,2020,3370,3,0,3
1400000US06037120104,6037120104,2020,2340,5,0,5
1400000US06037120105,6037120105,2020,2857,0,0,0
1400000US06037120106,6037120106,2020,4553,0,0,0
1400000US06037120107,6037120107,2020,3707,2,0,2
1400000US06037120108,6037120108,2020,4800,10,0,10
1400000US06037120300,6037120300,2020,5521,238,0,238
1400000US06037120400,6037120400,2020,7036,21,0,21
1400000US06037121010,6037121010,2020,4461,48,0,48
1400000US06037121020,6037121020,2020,3656,11,0,11
1400000US06037121101,6037121101,2020,3000,9,0,9
1400000US06037121102,6037121102,2020,2460,56,0,56
1400000US06037121210,6037121210,2020,3083,5,0,5
1400000US06037121221,6037121221,2020,2415,1,0,1
1400000US06037121222,6037121222,2020,5480,14,0,14
1400000US06037121600,6037121600,2020,2423,27,0,27
1400000US06037121801,6037121801,2020,2907,2,0,2
1400000US06037121802,6037121802,2020,3498,286,235,51
1400000US06037121900,6037121900,2020,3624,512,472,40
1400000US06037122000,6037122000,2020,6183,64,0,64
1400000US06037122120,6037122120,2020,4703,7,0,7
1400000US06037122121,6037122121,2020,2777,23,0,23
1400000US06037122122,6037122122,2020,2610,47,4,43
1400000US06037122200,6037122200,2020,3957,94,0,94
1400000US06037122410,6037122410,2020,3571,31,0,31
1400000US06037122420,6037122420,2020,4370,11,0,11
1400000US06037123010,6037123010,2020,4247,33,0,33
1400000US06037123020,6037123020,2020,3521,32,0,32
1400000US06037123103,6037123103,2020,4024,56,0,56
1400000US06037123104,6037123104,2020,4748,15,0,15
1400000US06037123203,6037123203,2020,3834,10,0,10
1400000US06037123204,6037123204,2020,3262,5,0,5
1400000US06037123205,6037123205,2020,2547,58,0,58
1400000US06037123206,6037123206,2020,2798,76,12,64
1400000US06037123301,6037123301,2020,4221,40,0,40
1400000US06037123303,6037123303,2020,2978,30,0,30
1400000US06037123304,6037123304,2020,4341,46,0,46
1400000US06037123410,6037123410,2020,4294,12,0,12
1400000US06037123420,6037123420,2020,4505,7,0,7
1400000US06037123510,6037123510,2020,4876,1,0,1
1400000US06037123520,6037123520,2020,2693,3,0,3
1400000US06037123601,6037123601,2020,4986,6,0,6
1400000US06037123602,6037123602,2020,3471,5,0,5
1400000US06037123700,6037123700,2020,4199,10,0,10
1400000US06037123800,6037123800,2020,5836,57,2,55
1400000US06037123901,6037123901,2020,4248,20,0,20
1400000US06037123902,6037123902,2020,2638,25,0,25
1400000US06037124000,6037124000,2020,5151,5,0,5
1400000US06037124102,6037124102,2020,3873,48,0,48
1400000US06037124103,6037124103,2020,2090,0,0,0
1400000US06037124104,6037124104,2020,2633,5,0,5
1400000US06037124105,6037124105,2020,2645,10,0,10
1400000US06037124201,6037124201,2020,3056,55,0,55
1400000US06037124203,6037124203,2020,2705,2,0,2
1400000US06037124204,6037124204,2020,2592,30,0,30
1400000US06037124300,6037124300,2020,3483,6,0,6
1400000US06037124400,6037124400,2020,4581,7,0,7
1400000US06037124500,6037124500,2020,2942,2,0,2
1400000US06037124600,6037124600,2020,3148,2,0,2
1400000US06037124700,6037124700,2020,5453,9,0,9
1400000US06037124902,6037124902,2020,2836,9,0,9
1400000US06037124903,6037124903,2020,3545,1,0,1
1400000US06037125101,6037125101,2020,3114,3,0,3
1400000US06037125102,6037125102,2020,3111,2,0,2
1400000US06037125200,6037125200,2020,3539,49,0,49
1400000US06037125310,6037125310,2020,5215,24,0,24
1400000US06037125321,6037125321,2020,2227,12,0,12
1400000US06037125322,6037125322,2020,3205,17,0,17
1400000US06037125402,6037125402,2020,4291,49,0,49
1400000US06037125403,6037125403,2020,1871,4,0,4
1400000US06037125404,6037125404,2020,2551,5,0,5
1400000US06037125501,6037125501,2020,3282,1,0,1
1400000US06037125502,6037125502,2020,3371,9,0,9
1400000US06037125600,6037125600,2020,2571,4,0,4
1400000US06037127102,6037127102,2020,5717,35,26,9
1400000US06037127103,6037127103,2020,3217,0,0,0
1400000US06037127104,6037127104,2020,3584,11,0,11
1400000US06037127210,6037127210,2020,5945,44,0,44
1400000US06037127220,6037127220,2020,4684,32,0,32
1400000US06037127300,6037127300,2020,4625,29,0,29
1400000US06037127400,6037127400,2020,6685,29,0,29
1400000US06037127520,6037127520,2020,4455,18,0,18
1400000US06037127603,6037127603,2020,3023,0,0,0
1400000US06037127604,6037127604,2020,3178,3,0,3
1400000US06037127605,6037127605,2020,4465,2,0,2
1400000US06037127606,6037127606,2020,3466,10,0,10
1400000US06037127711,6037127711,2020,3563,10,0,10
1400000US06037127712,6037127712,2020,3074,25,0,25
1400000US06037127803,6037127803,2020,4301,8,0,8
1400000US06037127804,6037127804,2020,4368,6,0,6
1400000US06037127805,6037127805,2020,3875,36,0,36
1400000US06037127806,6037127806,2020,3047,13,0,13
1400000US06037127910,6037127910,2020,5218,24,0,24
1400000US06037127920,6037127920,2020,4527,12,0,12
1400000US06037128101,6037128101,2020,3600,5,0,5
1400000US06037128102,6037128102,2020,5012,22,0,22
1400000US06037128210,6037128210,2020,5209,55,4,51
1400000US06037128220,6037128220,2020,3123,2,0,2
1400000US06037128302,6037128302,2020,4718,4,0,4
1400000US06037128303,6037128303,2020,3780,32,0,32
1400000US06037128400,6037128400,2020,4066,91,0,91
1400000US06037128500,6037128500,2020,4541,10,0,10
1400000US06037128601,6037128601,2020,4490,4,0,4
1400000US06037128602,6037128602,2020,3708,8,0,8
1400000US06037128703,6037128703,2020,2858,4,0,4
1400000US06037128704,6037128704,2020,2875,4,0,4
1400000US06037128801,6037128801,2020,3246,15,0,15
1400000US06037128802,6037128802,2020,4974,7,0,7
1400000US06037128910,6037128910,2020,4293,9,0,9
1400000US06037131021,6037131021,2020,3351,19,0,19
1400000US06037131022,6037131022,2020,3004,17,0,17
1400000US06037131023,6037131023,2020,2550,13,0,13
1400000US06037131024,6037131024,2020,3706,18,0,18
1400000US06037131100,6037131100,2020,3226,0,0,0
1400000US06037131200,6037131200,2020,3256,2,0,2
1400000US06037131300,6037131300,2020,5425,14,0,14
1400000US06037131400,6037131400,2020,6244,19,0,19
1400000US06037131600,6037131600,2020,4913,2,0,2
1400000US06037131701,6037131701,2020,4764,3,0,3
1400000US06037131702,6037131702,2020,3820,4,0,4
1400000US06037131801,6037131801,2020,3051,13,0,13
1400000US06037131802,6037131802,2020,3065,14,0,14
1400000US06037131900,6037131900,2020,4760,15,0,15
1400000US06037132001,6037132001,2020,3386,0,0,0
1400000US06037132002,6037132002,2020,3413,3,0,3
1400000US06037132101,6037132101,2020,4763,2,0,2
1400000US06037132102,6037132102,2020,5655,7,0,7
1400000US06037132301,6037132301,2020,3741,20,0,20
1400000US06037132302,6037132302,2020,3840,20,0,20
1400000US06037132501,6037132501,2020,4448,9,0,9
1400000US06037132502,6037132502,2020,4030,22,0,22
1400000US06037132700,6037132700,2020,5313,12,0,12
1400000US06037132900,6037132900,2020,3705,10,0,10
1400000US06037133000,6037133000,2020,4460,21,0,21
1400000US06037133101,6037133101,2020,2487,9,0,9
1400000US06037133102,6037133102,2020,3209,12,0,12
1400000US06037134001,6037134001,2020,3780,14,0,14
1400000US06037134002,6037134002,2020,4075,2,0,2
1400000US06037134101,6037134101,2020,5276,2,0,2
1400000US06037134103,6037134103,2020,4445,3,0,3
1400000US06037134104,6037134104,2020,4333,5,0,5
1400000US06037134201,6037134201,2020,4643,10,0,10
1400000US06037134302,6037134302,2020,3725,1,0,1
1400000US06037134303,6037134303,2020,6193,13,0,13
1400000US06037134304,6037134304,2020,2891,0,0,0
1400000US06037134305,6037134305,2020,4534,3,0,3
1400000US06037134306,6037134306,2020,3981,14,0,14
1400000US06037134421,6037134421,2020,3943,10,0,10
1400000US06037134422,6037134422,2020,4774,19,0,19
1400000US06037134423,6037134423,2020,3525,0,0,0
1400000US06037134424,6037134424,2020,2778,1,0,1
1400000US06037134520,6037134520,2020,5934,67,27,40
1400000US06037134521,6037134521,2020,3545,13,0,13
1400000US06037134522,6037134522,2020,3935,3,0,3
1400000US06037134710,6037134710,2020,5862,3,0,3
1400000US06037134720,6037134720,2020,4645,7,0,7
1400000US06037134801,6037134801,2020,3164,8,0,8
1400000US06037134802,6037134802,2020,3253,8,0,8
1400000US06037134901,6037134901,2020,2844,20,0,20
1400000US06037134904,6037134904,2020,4456,2,0,2
1400000US06037134905,6037134905,2020,3926,9,0,9
1400000US06037134906,6037134906,2020,1927,3,0,3
1400000US06037134907,6037134907,2020,4316,7,0,7
1400000US06037135102,6037135102,2020,3961,9,0,9
1400000US06037135111,6037135111,2020,3254,3,0,3
1400000US06037135113,6037135113,2020,3088,3,0,3
1400000US06037135115,6037135115,2020,1256,0,0,0
1400000US06037135116,6037135116,2020,3528,1,0,1
1400000US06037135201,6037135201,2020,2839,18,0,18
1400000US06037135202,6037135202,2020,4624,1,0,1
1400000US06037135204,6037135204,2020,3111,0,0,0
1400000US06037135205,6037135205,2020,4428,0,0,0
1400000US06037137000,6037137000,2020,4948,2,0,2
1400000US06037137103,6037137103,2020,5218,13,0,13
1400000US06037137104,6037137104,2020,2950,7,0,7
1400000US06037137202,6037137202,2020,2713,7,0,7
1400000US06037137203,6037137203,2020,3505,10,0,10
