Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"06029005512","Census Tract 55.12, Kern County, California","ACSSF","ca","140","00","0004108",,,,,"06","029",,,"005512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005512","Census Tract 55.12",,,,3381,1899,772,113,6,0,166,425,56.17,22.83,3.34,0.18,0,4.91,12.57
"06029005513","Census Tract 55.13, Kern County, California","ACSSF","ca","140","00","0004109",,,,,"06","029",,,"005513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005513","Census Tract 55.13",,,,1961,1175,58,0,39,0,504,185,59.92,2.96,0,1.99,0,25.7,9.43
"06029005514","Census Tract 55.14, Kern County, California","ACSSF","ca","140","00","0004110",,,,,"06","029",,,"005514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005514","Census Tract 55.14",,,,3886,2484,136,12,0,0,1175,79,63.92,3.5,0.31,0,0,30.24,2.03
"06029005600","Census Tract 56, Kern County, California","ACSSF","ca","140","00","0004111",,,,,"06","029",,,"005600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005600","Census Tract 56",,,,2418,1272,174,118,153,2,413,286,52.61,7.2,4.88,6.33,0.08,17.08,11.83
"06029005700","Census Tract 57, Kern County, California","ACSSF","ca","140","00","0004112",,,,,"06","029",,,"005700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005700","Census Tract 57",,,,2924,2019,232,15,136,8,128,386,69.05,7.93,0.51,4.65,0.27,4.38,13.2
"06029005803","Census Tract 58.03, Kern County, California","ACSSF","ca","140","00","0004113",,,,,"06","029",,,"005803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005803","Census Tract 58.03",,,,3205,2386,208,92,0,0,315,204,74.45,6.49,2.87,0,0,9.83,6.37
"06029005804","Census Tract 58.04, Kern County, California","ACSSF","ca","140","00","0004114",,,,,"06","029",,,"005804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005804","Census Tract 58.04",,,,5886,2953,1141,22,19,0,1162,589,50.17,19.38,0.37,0.32,0,19.74,10.01
"06029005805","Census Tract 58.05, Kern County, California","ACSSF","ca","140","00","0004115",,,,,"06","029",,,"005805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005805","Census Tract 58.05",,,,2231,1487,139,4,30,0,385,186,66.65,6.23,0.18,1.34,0,17.26,8.34
"06029005806","Census Tract 58.06, Kern County, California","ACSSF","ca","140","00","0004116",,,,,"06","029",,,"005806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005806","Census Tract 58.06",,,,4702,3035,396,47,130,0,338,756,64.55,8.42,1,2.76,0,7.19,16.08
"06029005900","Census Tract 59, Kern County, California","ACSSF","ca","140","00","0004117",,,,,"06","029",,,"005900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029005900","Census Tract 59",,,,3341,1674,794,136,78,19,499,141,50.1,23.77,4.07,2.33,0.57,14.94,4.22
"06029006002","Census Tract 60.02, Kern County, California","ACSSF","ca","140","00","0004118",,,,,"06","029",,,"006002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029006002","Census Tract 60.02",,,,4284,2311,698,19,120,10,410,716,53.94,16.29,0.44,2.8,0.23,9.57,16.71
"06029006003","Census Tract 60.03, Kern County, California","ACSSF","ca","140","00","0004119",,,,,"06","029",,,"006003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029006003","Census Tract 60.03",,,,6009,4739,71,17,0,0,723,459,78.87,1.18,0.28,0,0,12.03,7.64
"06029006004","Census Tract 60.04, Kern County, California","ACSSF","ca","140","00","0004120",,,,,"06","029",,,"006004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029006004","Census Tract 60.04",,,,1255,1108,2,0,25,0,89,31,88.29,0.16,0,1.99,0,7.09,2.47
"06029006006","Census Tract 60.06, Kern County, California","ACSSF","ca","140","00","0004121",,,,,"06","029",,,"006006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029006006","Census Tract 60.06",,,,4117,3591,9,9,48,0,145,315,87.22,0.22,0.22,1.17,0,3.52,7.65
"06029006009","Census Tract 60.09, Kern County, California","ACSSF","ca","140","00","0004122",,,,,"06","029",,,"006009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029006009","Census Tract 60.09",,,,2660,2271,0,0,234,0,83,72,85.38,0,0,8.8,0,3.12,2.71
"06029006010","Census Tract 60.10, Kern County, California","ACSSF","ca","140","00","0004123",,,,,"06","029",,,"006010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029006010","Census Tract 60.10",,,,2790,2355,40,0,55,0,55,285,84.41,1.43,0,1.97,0,1.97,10.22
