geoid,geoid20,year,denom_total_pop,pollution_burden_score
1400000US06037115401,6037115401,2021,6373,7.4899998
1400000US06037115403,6037115403,2021,3583,7.1199999
1400000US06037115404,6037115404,2021,2800,6.9299998
1400000US06037117101,6037117101,2021,5224,5.8499999
1400000US06037117102,6037117102,2021,2861,5.3400002
1400000US06037117201,6037117201,2021,5191,6.29
1400000US06037117202,6037117202,2021,2633,5.79
1400000US06037117301,6037117301,2021,3910,5.0300002
1400000US06037117302,6037117302,2021,5229,7.0999999
1400000US06037117303,6037117303,2021,3754,7.7600002
1400000US06037117404,6037117404,2021,5324,7.3600001
1400000US06037117405,6037117405,2021,3574,6.4200001
1400000US06037117407,6037117407,2021,3836,6.5700002
1400000US06037117408,6037117408,2021,3073,7.4499998
1400000US06037117510,6037117510,2021,3687,6.2800002
1400000US06037117520,6037117520,2021,4168,6.3400002
1400000US06037117530,6037117530,2021,6742,6.5300002
1400000US06037119001,6037119001,2021,4435,8.1899996
1400000US06037119003,6037119003,2021,3996,8.2200003
1400000US06037119004,6037119004,2021,3980,8.2200003
1400000US06037119201,6037119201,2021,4547,5.75
1400000US06037119202,6037119202,2021,4759,6.9699998
1400000US06037119310,6037119310,2021,4087,4.96
1400000US06037119320,6037119320,2021,4906,5.8200002
1400000US06037119340,6037119340,2021,4264,5.73
1400000US06037119341,6037119341,2021,2890,5.8899999
1400000US06037119342,6037119342,2021,2911,5.7600002
1400000US06037119400,6037119400,2021,5499,6.02
1400000US06037119700,6037119700,2021,4913,6.8499999
1400000US06037119801,6037119801,2021,2985,6.6599998
1400000US06037119802,6037119802,2021,3069,6.6599998
1400000US06037119900,6037119900,2021,5245,6.4499998
1400000US06037120010,6037120010,2021,2704,7.75
1400000US06037120020,6037120020,2021,3738,7.52
1400000US06037120030,6037120030,2021,2800,7.48
1400000US06037120103,6037120103,2021,3452,5.8600001
1400000US06037120104,6037120104,2021,2228,6.3200002
1400000US06037120105,6037120105,2021,2832,6.5799999
1400000US06037120106,6037120106,2021,4763,6.3899999
1400000US06037120107,6037120107,2021,3893,6.25
1400000US06037120108,6037120108,2021,4732,6
1400000US06037120300,6037120300,2021,5238,7.4400001
1400000US06037120400,6037120400,2021,6769,6.71
1400000US06037121010,6037121010,2021,4934,7.6300001
1400000US06037121020,6037121020,2021,3610,7.5799999
1400000US06037121101,6037121101,2021,2862,7.3600001
1400000US06037121102,6037121102,2021,2479,8.4499998
1400000US06037121210,6037121210,2021,2926,8.3100004
1400000US06037121221,6037121221,2021,2420,7.9299998
1400000US06037121222,6037121222,2021,5139,8.4499998
1400000US06037121600,6037121600,2021,2735,8.1300001
1400000US06037121801,6037121801,2021,3127,6.1199999
1400000US06037121802,6037121802,2021,3216,7.2399998
1400000US06037121900,6037121900,2021,3761,8.0600004
1400000US06037122000,6037122000,2021,5892,8.4499998
1400000US06037122120,6037122120,2021,5011,6.8000002
1400000US06037122121,6037122121,2021,2829,7.48
1400000US06037122122,6037122122,2021,2728,8.4399996
1400000US06037122200,6037122200,2021,3469,8.71
1400000US06037122410,6037122410,2021,3457,7.54
1400000US06037122420,6037122420,2021,4503,7.6700001
1400000US06037123010,6037123010,2021,4027,7.46
1400000US06037123020,6037123020,2021,3250,7.3299999
1400000US06037123103,6037123103,2021,3808,7.3699999
1400000US06037123104,6037123104,2021,4416,6.1300001
1400000US06037123203,6037123203,2021,4094,7.5799999
1400000US06037123204,6037123204,2021,3129,6.98
1400000US06037123205,6037123205,2021,2492,7.3899999
1400000US06037123206,6037123206,2021,2572,7.6999998
1400000US06037123301,6037123301,2021,4530,7.5700002
1400000US06037123303,6037123303,2021,3087,7.6900001
1400000US06037123304,6037123304,2021,4362,8.2700005
1400000US06037123410,6037123410,2021,4181,7.4499998
1400000US06037123420,6037123420,2021,4408,7.3699999
1400000US06037123510,6037123510,2021,4795,6.6300001
1400000US06037123520,6037123520,2021,2816,6.2399998
1400000US06037123601,6037123601,2021,4803,6.2199998
1400000US06037123602,6037123602,2021,3659,6.1500001
1400000US06037123700,6037123700,2021,4435,6.2399998
1400000US06037123800,6037123800,2021,6018,6.4400001
1400000US06037123901,6037123901,2021,4696,6.8299999
1400000US06037123902,6037123902,2021,2668,6.2600002
1400000US06037124000,6037124000,2021,5219,5.54
1400000US06037124102,6037124102,2021,3551,6.6100001
1400000US06037124103,6037124103,2021,1950,6.7600002
1400000US06037124104,6037124104,2021,2492,6.1399999
1400000US06037124105,6037124105,2021,2538,5.8400002
1400000US06037124201,6037124201,2021,3348,7.0799999
1400000US06037124203,6037124203,2021,2384,6.5500002
1400000US06037124204,6037124204,2021,2192,6.9899998
1400000US06037124300,6037124300,2021,2988,6.6399999
1400000US06037124400,6037124400,2021,4858,5.46
1400000US06037124500,6037124500,2021,2925,5.5599999
1400000US06037124600,6037124600,2021,2691,6.1199999
1400000US06037124700,6037124700,2021,5539,5.9499998
1400000US06037124902,6037124902,2021,2706,5.0799999
1400000US06037124903,6037124903,2021,3499,5.02
1400000US06037125101,6037125101,2021,2948,5.7800002
1400000US06037125102,6037125102,2021,2944,5.7800002
1400000US06037125200,6037125200,2021,3907,7.1599998
1400000US06037125310,6037125310,2021,4313,7.0599999
1400000US06037125321,6037125321,2021,2093,7.0700002
1400000US06037125322,6037125322,2021,3013,7.0700002
1400000US06037125402,6037125402,2021,5040,6.6700001
1400000US06037125403,6037125403,2021,2102,6.77
1400000US06037125404,6037125404,2021,2864,6.77
1400000US06037125501,6037125501,2021,3052,7.21
1400000US06037125502,6037125502,2021,3488,7.3499999
1400000US06037125600,6037125600,2021,2811,7.71
1400000US06037127102,6037127102,2021,5779,6.7800002
1400000US06037127103,6037127103,2021,3109,7.3200002
1400000US06037127104,6037127104,2021,3821,7.0500002
1400000US06037127210,6037127210,2021,5838,7.4899998
1400000US06037127220,6037127220,2021,5045,7.0500002
1400000US06037127300,6037127300,2021,3809,7.77
1400000US06037127400,6037127400,2021,6558,8.3599997
1400000US06037127520,6037127520,2021,4870,7.7199998
1400000US06037127603,6037127603,2021,3068,6.1199999
1400000US06037127604,6037127604,2021,3157,6.6500001
1400000US06037127605,6037127605,2021,4329,6.0999999
1400000US06037127606,6037127606,2021,3322,6.6500001
1400000US06037127711,6037127711,2021,3588,8.1599998
1400000US06037127712,6037127712,2021,3560,5.9200001
1400000US06037127803,6037127803,2021,4790,6.27
1400000US06037127804,6037127804,2021,4352,5.6500001
1400000US06037127805,6037127805,2021,3627,6.04
1400000US06037127806,6037127806,2021,3293,6.6100001
1400000US06037127910,6037127910,2021,5097,6.3200002
1400000US06037127920,6037127920,2021,4716,6.6500001
1400000US06037128101,6037128101,2021,3735,5.8200002
1400000US06037128102,6037128102,2021,4625,5.6199999
1400000US06037128210,6037128210,2021,5008,6.3499999
1400000US06037128220,6037128220,2021,2912,5.8400002
1400000US06037128302,6037128302,2021,5000,7.73
1400000US06037128303,6037128303,2021,4176,7.0300002
1400000US06037128400,6037128400,2021,4502,8.6800003
1400000US06037128500,6037128500,2021,4108,6
1400000US06037128601,6037128601,2021,4369,6.48
1400000US06037128602,6037128602,2021,3472,5.3800001
1400000US06037128703,6037128703,2021,2896,5.9400001
1400000US06037128704,6037128704,2021,2914,5.9400001
1400000US06037128801,6037128801,2021,3419,6.3499999
1400000US06037128802,6037128802,2021,4670,6.3299999
1400000US06037128910,6037128910,2021,4657,6.3699999
1400000US06037131021,6037131021,2021,3526,6.4000001
1400000US06037131022,6037131022,2021,3160,6.4000001
1400000US06037131023,6037131023,2021,2733,7
1400000US06037131024,6037131024,2021,3971,7
1400000US06037131100,6037131100,2021,3197,7.1900001
1400000US06037131200,6037131200,2021,3417,5.3600001
1400000US06037131300,6037131300,2021,5102,5.3899999
1400000US06037131400,6037131400,2021,6367,6.0500002
1400000US06037131600,6037131600,2021,5336,5.9200001
1400000US06037131701,6037131701,2021,5587,5.6199999
1400000US06037131702,6037131702,2021,3770,5.8299999
1400000US06037131801,6037131801,2021,3072,6.5700002
1400000US06037131802,6037131802,2021,3085,6.5700002
1400000US06037131900,6037131900,2021,4597,5.9899998
1400000US06037132001,6037132001,2021,3463,7.0100002
1400000US06037132002,6037132002,2021,3354,7.52
1400000US06037132101,6037132101,2021,4645,6.9000001
1400000US06037132102,6037132102,2021,5401,7.5500002
1400000US06037132301,6037132301,2021,3905,6.7800002
1400000US06037132302,6037132302,2021,4007,6.7800002
1400000US06037132501,6037132501,2021,4566,5.4699998
1400000US06037132502,6037132502,2021,3922,5.8099999
1400000US06037132700,6037132700,2021,4873,7.29
1400000US06037132900,6037132900,2021,3885,7.4299998
1400000US06037133000,6037133000,2021,4778,6.29
1400000US06037133101,6037133101,2021,2449,7.6700001
1400000US06037133102,6037133102,2021,3160,7.6700001
1400000US06037134001,6037134001,2021,3864,6.2800002
1400000US06037134002,6037134002,2021,3665,6.0799999
1400000US06037134101,6037134101,2021,5579,5.5
1400000US06037134103,6037134103,2021,4659,5.48
1400000US06037134104,6037134104,2021,4618,5.3200002
1400000US06037134201,6037134201,2021,4735,6.9099998
1400000US06037134302,6037134302,2021,4112,5.6500001
1400000US06037134303,6037134303,2021,5942,6.5300002
1400000US06037134304,6037134304,2021,3042,6.1100001
1400000US06037134305,6037134305,2021,4183,6.02
1400000US06037134306,6037134306,2021,4305,6.4400001
1400000US06037134421,6037134421,2021,4234,3.6400001
1400000US06037134422,6037134422,2021,4924,5.0799999
1400000US06037134423,6037134423,2021,3539,4.4000001
1400000US06037134424,6037134424,2021,2916,3.0999999
1400000US06037134520,6037134520,2021,6065,6.6399999
1400000US06037134521,6037134521,2021,3691,6.4099998
1400000US06037134522,6037134522,2021,4167,6.54
1400000US06037134710,6037134710,2021,5836,6.1700001
1400000US06037134720,6037134720,2021,5074,6.3800001
1400000US06037134801,6037134801,2021,3155,6.4299998
