geoid,name,B99021001,"B99021001, Error",B99021002,"B99021002, Error",B99021003,"B99021003, Error"
14000US06029002701,"Census Tract 27.01, Kern, CA",2702,-1,23,-1,2679,-1
14000US06029002702,"Census Tract 27.02, Kern, CA",3055,-1,0,-1,3055,-1
14000US06029002804,"Census Tract 28.04, Kern, CA",2240,-1,116,-1,2124,-1
14000US06029002806,"Census Tract 28.06, Kern, CA",2308,-1,26,-1,2282,-1
14000US06029002807,"Census Tract 28.07, Kern, CA",3935,-1,30,-1,3905,-1
14000US06029002811,"Census Tract 28.11, Kern, CA",3342,-1,112,-1,3230,-1
14000US06029002813,"Census Tract 28.13, Kern, CA",4244,-1,73,-1,4171,-1
14000US06029002814,"Census Tract 28.14, Kern, CA",4416,-1,165,-1,4251,-1
14000US06029002815,"Census Tract 28.15, Kern, CA",4924,-1,45,-1,4879,-1
14000US06029002816,"Census Tract 28.16, Kern, CA",7069,-1,97,-1,6972,-1
14000US06029002817,"Census Tract 28.17, Kern, CA",5284,-1,232,-1,5052,-1
14000US06029002818,"Census Tract 28.18, Kern, CA",5017,-1,55,-1,4962,-1
14000US06029002819,"Census Tract 28.19, Kern, CA",4673,-1,65,-1,4608,-1
14000US06029002820,"Census Tract 28.20, Kern, CA",7084,-1,116,-1,6968,-1
14000US06029002821,"Census Tract 28.21, Kern, CA",4730,-1,20,-1,4710,-1
14000US06029002822,"Census Tract 28.22, Kern, CA",3435,-1,0,-1,3435,-1
14000US06029002823,"Census Tract 28.23, Kern, CA",4653,-1,67,-1,4586,-1
14000US06029002824,"Census Tract 28.24, Kern, CA",2111,-1,19,-1,2092,-1
14000US06029002825,"Census Tract 28.25, Kern, CA",2917,-1,33,-1,2884,-1
14000US06029002901,"Census Tract 29.01, Kern, CA",3498,-1,0,-1,3498,-1
14000US06029002902,"Census Tract 29.02, Kern, CA",3979,-1,238,-1,3741,-1
14000US06029003001,"Census Tract 30.01, Kern, CA",3959,-1,33,-1,3926,-1
14000US06029003002,"Census Tract 30.02, Kern, CA",3560,-1,23,-1,3537,-1
14000US06029003103,"Census Tract 31.03, Kern, CA",4053,-1,108,-1,3945,-1
14000US06029003112,"Census Tract 31.12, Kern, CA",5865,-1,242,-1,5623,-1
14000US06029003113,"Census Tract 31.13, Kern, CA",5371,-1,95,-1,5276,-1
14000US06029003124,"Census Tract 31.24, Kern, CA",6359,-1,145,-1,6214,-1
14000US06029003125,"Census Tract 31.25, Kern, CA",3106,-1,0,-1,3106,-1
14000US06029003126,"Census Tract 31.26, Kern, CA",5977,-1,37,-1,5940,-1
14000US06029003127,"Census Tract 31.27, Kern, CA",4179,-1,0,-1,4179,-1
14000US06029003128,"Census Tract 31.28, Kern, CA",4437,-1,140,-1,4297,-1
14000US06029003129,"Census Tract 31.29, Kern, CA",3778,-1,107,-1,3671,-1
14000US06029003130,"Census Tract 31.30, Kern, CA",4745,-1,23,-1,4722,-1
14000US06029003131,"Census Tract 31.31, Kern, CA",3294,-1,24,-1,3270,-1
14000US06029003132,"Census Tract 31.32, Kern, CA",5065,-1,134,-1,4931,-1
14000US06029003133,"Census Tract 31.33, Kern, CA",2760,-1,0,-1,2760,-1
14000US06029003134,"Census Tract 31.34, Kern, CA",3499,-1,316,-1,3183,-1
14000US06029003135,"Census Tract 31.35, Kern, CA",4234,-1,5,-1,4229,-1
14000US06029003136,"Census Tract 31.36, Kern, CA",1750,-1,94,-1,1656,-1
14000US06029003137,"Census Tract 31.37, Kern, CA",3520,-1,0,-1,3520,-1
14000US06029003203,"Census Tract 32.03, Kern, CA",2098,-1,29,-1,2069,-1
14000US06029003207,"Census Tract 32.07, Kern, CA",5113,-1,73,-1,5040,-1
14000US06029003208,"Census Tract 32.08, Kern, CA",6995,-1,0,-1,6995,-1
14000US06029003209,"Census Tract 32.09, Kern, CA",4529,-1,274,-1,4255,-1
14000US06029003210,"Census Tract 32.10, Kern, CA",4840,-1,61,-1,4779,-1
14000US06029003211,"Census Tract 32.11, Kern, CA",5117,-1,0,-1,5117,-1
14000US06029003212,"Census Tract 32.12, Kern, CA",5782,-1,33,-1,5749,-1
14000US06029003213,"Census Tract 32.13, Kern, CA",1492,-1,0,-1,1492,-1
14000US06029003214,"Census Tract 32.14, Kern, CA",1653,-1,39,-1,1614,-1
14000US06029003215,"Census Tract 32.15, Kern, CA",4165,-1,81,-1,4084,-1
